stock_code,ticker,report_year,report_type,statement_type,item_name,item_value
1,000001.SZ,2025,annual,cash_flow,现金及现金等价物净增加/(减少)额,85689
1,000001.SZ,2025,annual,cash_flow,现金及现金等价物净增加/(减少)额,85689
1,000001.SZ,2025,annual,cash_flow,现金的年末余额,4057
1,000001.SZ,2025,annual,cash_flow,租赁负债的利息费用,137
1,000001.SZ,2025,annual,cash_flow,筹资活动使用的现金流量净额,-149236
1,000001.SZ,2025,annual,cash_flow,筹资活动现金流入小计,725935
1,000001.SZ,2025,annual,cash_flow,筹资活动现金流出小计,-875171
1,000001.SZ,2025,annual,cash_flow,经营性应付项目的增加,256763
1,000001.SZ,2025,annual,cash_flow,经营性应收项目的增加,-202985
1,000001.SZ,2025,annual,cash_flow,经营活动产生的现金流量净额,315858
1,000001.SZ,2025,annual,cash_flow,经营活动现金流入小计,625358
1,000001.SZ,2025,annual,cash_flow,经营活动现金流出小计,-467471
1,000001.SZ,2025,annual,cash_flow,递延所得税资产的减少/(增加),2718
1,000001.SZ,2025,annual,cash_flow,金融工具公允价值变动损益,1622
1,000001.SZ,2025,annual,cash_flow,长期待摊费用摊销,514
1,000001.SZ,2025,annual,cash_flow,预计诉讼损失的计提/(转回),-65
1,000001.SZ,2025,annual,income_statement,一持续经营净利润,42633
1,000001.SZ,2025,annual,income_statement,业务及管理费,-40582
1,000001.SZ,2025,annual,income_statement,信用减值损失,-48939
1,000001.SZ,2025,annual,income_statement,公允价值变动损益,3104
1,000001.SZ,2025,annual,income_statement,其他业务收入,294
1,000001.SZ,2025,annual,income_statement,其他收益,178
1,000001.SZ,2025,annual,income_statement,其他资产减值损失,-489
1,000001.SZ,2025,annual,income_statement,净利润,42633
1,000001.SZ,2025,annual,income_statement,减值损失前营业利润,91975
1,000001.SZ,2025,annual,income_statement,减：所得税费用,-10230
1,000001.SZ,2025,annual,income_statement,减：营业外支出,-505
1,000001.SZ,2025,annual,income_statement,利息净收入,88021
1,000001.SZ,2025,annual,income_statement,利息支出,-104954
1,000001.SZ,2025,annual,income_statement,利息收入,169863
1,000001.SZ,2025,annual,income_statement,利润总额,51159
1,000001.SZ,2025,annual,income_statement,加：营业外收入,37
1,000001.SZ,2025,annual,income_statement,手续费及佣金净收入,23894
1,000001.SZ,2025,annual,income_statement,手续费及佣金支出,-3732
1,000001.SZ,2025,annual,income_statement,手续费及佣金收入,27240
1,000001.SZ,2025,annual,income_statement,投资收益,20474
1,000001.SZ,2025,annual,income_statement,汇兑损益,960
